,0,1,2
1,GH-Ank,4.0,0.885
1,GH-Ank,4.0,0.907
1,GH-Ank,4.0,0.928
1,GH-Ank,4.0,0.949
1,GH-Ank,4.0,0.971
1,GH-Ank,4.0,0.992
1,GH-Ank,4.0,1.013
1,GH-Ank,4.0,1.034
1,GH-Ank,4.0,1.054
1,GH-Ank,4.5,0.864
1,GH-Ank,4.5,0.885
1,GH-Ank,4.5,0.907
1,GH-Ank,4.5,0.928
1,GH-Ank,4.5,0.949
1,GH-Ank,4.5,0.971
1,GH-Ank,4.5,0.992
1,GH-Ank,4.5,1.013
1,GH-Ank,4.5,1.034
1,GH-Ank,4.5,1.054
2,CA-TVC,0.0,0.139
2,CA-TVC,0.0,0.154
2,CA-TVC,0.0,0.168
2,CA-TVC,0.0,0.18
2,CA-TVC,0.0,0.191
2,CA-TVC,0.0,0.205
2,CA-TVC,0.0,0.218
2,CA-TVC,0.0,0.23
2,CA-TVC,0.0,0.242
2,CA-TVC,0.0,0.255
2,CA-TVC,0.5,0.139
2,CA-TVC,0.5,0.154
2,CA-TVC,0.5,0.168
2,CA-TVC,0.5,0.18
2,CA-TVC,0.5,0.191
2,CA-TVC,0.5,0.205
2,CA-TVC,0.5,0.218
2,CA-TVC,0.5,0.23
2,CA-TVC,0.5,0.242
2,CA-TVC,0.5,0.255
2,CA-TVC,1.0,0.139
2,CA-TVC,1.0,0.154
2,CA-TVC,1.0,0.168
2,CA-TVC,1.0,0.18
2,CA-TVC,1.0,0.191
2,CA-TVC,1.0,0.205
2,CA-TVC,1.0,0.218
2,CA-TVC,1.0,0.23
2,CA-TVC,1.0,0.242
2,CA-TVC,1.0,0.255
2,CA-TVC,1.5,0.139
2,CA-TVC,1.5,0.154
2,CA-TVC,1.5,0.168
2,CA-TVC,1.5,0.18
2,CA-TVC,1.5,0.191
2,CA-TVC,1.5,0.205
2,CA-TVC,1.5,0.218
2,CA-TVC,1.5,0.23
2,CA-TVC,1.5,0.242
2,CA-TVC,1.5,0.255
2,CA-TVC,2.0,0.139
2,CA-TVC,2.0,0.154
2,CA-TVC,2.0,0.168
2,CA-TVC,2.0,0.18
2,CA-TVC,2.0,0.191
2,CA-TVC,2.0,0.205
2,CA-TVC,2.0,0.218
2,CA-TVC,2.0,0.23
2,CA-TVC,2.0,0.242
2,CA-TVC,2.0,0.255
2,CA-TVC,2.5,0.139
2,CA-TVC,2.5,0.154
2,CA-TVC,2.5,0.168
2,CA-TVC,2.5,0.18
2,CA-TVC,2.5,0.191
2,CA-TVC,2.5,0.205
2,CA-TVC,2.5,0.218
2,CA-TVC,2.5,0.23
2,CA-TVC,2.5,0.242
2,CA-TVC,2.5,0.255
2,CA-TVC,3.0,0.139
2,CA-TVC,3.0,0.154
2,CA-TVC,3.0,0.168
2,CA-TVC,3.0,0.18
2,CA-TVC,3.0,0.191
2,CA-TVC,3.0,0.205
2,CA-TVC,3.0,0.218
2,CA-TVC,3.0,0.23
2,CA-TVC,3.0,0.242
2,CA-TVC,3.0,0.255
2,CA-TVC,3.5,0.139
2,CA-TVC,3.5,0.154
2,CA-TVC,3.5,0.168
2,CA-TVC,3.5,0.18
2,CA-TVC,3.5,0.191
2,CA-TVC,3.5,0.205
2,CA-TVC,3.5,0.218
2,CA-TVC,3.5,0.23
2,CA-TVC,3.5,0.242
2,CA-TVC,3.5,0.255
2,CA-TVC,4.0,0.139
2,CA-TVC,4.0,0.154
2,CA-TVC,4.0,0.168
2,CA-TVC,4.0,0.18
2,CA-TVC,4.0,0.191
2,CA-TVC,4.0,0.205
2,CA-TVC,4.0,0.218
2,CA-TVC,4.0,0.23
2,CA-TVC,4.0,0.242
2,CA-TVC,4.0,0.255
